UF,Município,Latitude,Longitude,"2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","Total"
GO,BRITÂNIA,-15.2385862943788,-51.1672851018916,0,0,0,0,0,0,0,82,0,0,82
GO,CAÇU,-18.5630506239039,-51.1335286136199,0,0,0,0,0,0,96,0,0,0,96
GO,CAMPO ALEGRE DE GOIÁS,-17.6405551366125,-47.7782251013376,0,199,0,0,0,17,2,0,0,0,218
GO,CATALÃO,-18.1695733634179,-47.9477032172157,0,0,0,151,0,0,10,0,0,0,161
GO,CERES,-15.3070283354001,-49.6033462318308,0,0,0,0,36,0,0,0,0,0,36
GO,CRISTALINA,-16.7694336631642,-47.6068175922325,0,0,24,0,0,78,0,0,0,0,102
GO,CRIXÁS,-14.5375902550291,-49.9672039392422,0,0,0,0,0,0,0,0,9,0,9
GO,DOVERLÂNDIA,-16.7210370624642,-52.3139804233095,0,0,8,0,0,0,0,0,0,0,8
GO,FROMOSO,-13.6557801485825,-48.8880896723124,0,0,15,0,0,0,0,0,0,0,15
GO,GOIÂNIA,-16.6733097738389,-49.2558142758157,0,0,0,0,0,0,0,0,11,63,74
GO,GOIATUBA,-18.0106332403566,-49.3666434695634,0,0,0,0,32,0,0,0,0,0,32
GO,GOUVELÂNDIA,-18.4382785343916,-50.1379987972882,0,0,0,0,0,0,0,0,65,0,65
GO,INDIARA,-17.1372613100831,-49.9890531950283,0,0,0,0,0,0,0,0,0,4,4
GO,INHUMAS,-16.3599604740425,-49.5002245065799,0,0,0,0,14,0,115,0,0,0,129
GO,IPAMERI,-17.7221768121533,-48.1586676782561,0,0,0,0,19,0,0,8,0,0,27
GO,ITABERAÍ,-16.0211302070026,-49.8034793740213,0,0,0,0,87,0,0,0,0,0,87
GO,ITAJÁ,-19.0622350464855,-51.5446839593993,0,0,0,0,0,0,0,0,19,7,26
GO,ITARUMÃ,-18.7616602284421,-51.348889900608,0,0,0,0,77,0,0,0,0,0,77
GO,JATAÍ,-17.8862323338404,-51.7208180375604,0,0,0,0,0,95,0,0,0,0,95
GO,JOVIÂNIA,-17.8071094520716,-49.6299398095889,0,0,0,0,0,0,15,99,0,0,114
GO,JUSSARA,-15.8663489233335,-50.8661265899966,0,0,0,0,0,0,0,0,0,14,14
GO,MAIRIPOTABA,-17.2973954688585,-49.5008802854381,0,0,0,0,65,0,0,0,0,0,65
GO,MARA ROSA,-14.0085688956699,-49.1798231432442,0,0,12,0,0,0,0,0,0,0,12
GO,MINAÇU,-13.5350936496024,-48.2239076238009,0,0,62,0,0,0,38,0,0,0,100
GO,MINEIROS,-17.5661675714877,-52.5546671879349,0,0,68,0,0,0,0,3,0,0,71
GO,MONTE ALEGRE DE GOIÁS,-13.2573260767062,-46.8857991383548,0,0,0,0,0,0,0,8,0,0,8
GO,MONTES CLAROS DE GOIÁS,-16.0047599101005,-51.4004988846889,0,0,0,0,0,12,0,0,26,0,38
GO,MONTIVIDIU DO NORTE,-13.3530942565859,-48.6888221238849,0,0,0,43,0,0,0,0,0,0,43
GO,MUTUNÓPOLIS,-13.7236105818188,-49.2744452473581,0,0,6,0,0,0,0,0,0,0,6
GO,NOVO PLANALTO,-13.2409519765794,-49.5120502991919,0,0,0,0,0,0,0,0,5,0,5
GO,PALMEIRA DE GOIÁS,-16.8069880059216,-49.9227871292957,0,0,0,0,64,0,0,0,0,0,64
GO,PARAÚNA,-16.9466970092766,-50.4576405930575,0,0,0,0,0,0,0,0,10,0,10
GO,PIRENÓPOLIS,-15.8533422975453,-48.9625271926178,0,0,162,0,0,0,0,0,0,0,162
GO,PORANGATU,-13.4421859466224,-49.1462260518879,0,46,0,0,0,0,0,0,0,0,46
GO,PORTEIRÃO,-17.8154006298882,-50.1642504168683,0,0,0,0,0,244,0,0,0,0,244
GO,PORTELÂNDIA,-17.3529241047142,-52.6806835438539,0,0,14,0,0,0,0,0,0,0,14
GO,QUIRINÓPOLIS,-18.4515073558846,-50.452262521809,0,0,0,0,0,421,0,0,0,0,421
GO,RIO VERDE,-17.7945434019057,-50.9296809301732,0,0,0,0,0,0,0,0,0,43,43
GO,S.MIGUEL DO ARAGUAIA,-13.2760243429645,-50.1638382701425,0,0,19,0,0,0,0,0,0,0,19
GO,SANTA RITA DO ARAGUAIA,-17.3263507863191,-53.2051465107985,0,0,5,0,0,0,0,0,0,0,5
GO,SANTA TEREZINHA,-14.4334764202998,-49.706202241116,0,0,0,0,0,0,0,0,69,0,69
GO,SANTA TEREZINHA DE GOIÁS,-14.4334764202998,-49.706202241116,0,0,9,0,0,0,0,0,0,0,9
GO,SÃO MIGUEL DO ARAGUAIA,-13.2760243429645,-50.1638382701425,0,0,0,0,0,0,0,0,11,0,11
GO,SERRANÓPOLIS,-18.3077243971449,-51.957777940175,0,0,0,0,0,0,5,0,0,0,5
GO,TRINDADE,-16.6553504288293,-49.4890992025777,0,0,0,0,65,0,0,0,0,0,65
GO,VIANÓPOLIS,-16.7420814386658,-48.5134708970576,0,0,0,0,0,0,23,0,16,14,53
GO,VICENTINÓPOLIS,-17.7326623802989,-49.8072390138539,0,0,0,0,0,0,0,0,39,0,39
GO,VILA PROPÍCIO,-15.4546348167752,-48.8824220764979,0,0,0,0,0,0,24,0,0,0,24
MA,AÇAILÂNDIA,-4.95137700016247,-47.5066645931119,150,151,35,0,27,26,0,17,19,5,430
MA,ALTAMIRA,-4.16226926685314,-45.4646758311604,0,0,0,0,0,0,0,0,6,0,6
MA,ALTO ALEGRE,-4.207227,-44.4482474945232,0,0,0,0,21,0,0,0,0,0,21
MA,ALTO ALEGRE DO PINDARÉ,-3.66517037445328,-45.8420796161705,0,0,12,0,0,0,8,0,0,0,20
MA,AMARANTE DO NORTE,-5.55766200018214,-46.7506375454972,0,0,18,0,0,0,0,0,0,0,18
MA,BACABAL,-4.2315246297805,-44.781555964089,0,0,0,11,0,0,0,0,0,0,11
MA,BALSAS,-7.53116999024551,-46.0389926733405,0,0,20,0,0,9,0,0,0,0,29
MA,BELA VISTA,-3.73773324990828,-45.2482458781848,0,0,0,0,17,0,0,0,0,0,17
MA,BOM JARDIM,-3.54416097785571,-45.601889389051,13,0,0,117,57,0,2,68,4,0,261
MA,BOM JESUS DAS SELVAS,-4.48996835310691,-46.8532412231488,0,6,33,27,0,0,13,7,0,0,86
MA,BURITIRANA,-5.58891514171156,-47.0172250932176,0,0,15,0,0,0,0,0,0,0,15
MA,CAPINZAL DO NORTE,-4.72124538877219,-44.3304362519955,0,0,0,0,48,0,29,0,0,0,77
MA,CARUTAPERA,-1.200602,-46.0231508346049,40,0,0,9,0,0,1,0,1,0,51
MA,CENTRO NOVO,-2.14429169855838,-46.1284089549781,0,18,37,0,0,0,0,0,0,0,55
MA,CIDELÂNDIA,-5.17742104721158,-47.7842327756716,0,0,0,18,0,0,0,0,0,0,18
MA,CODÓ,-4.45133750014621,-43.8860802350324,0,0,79,49,2,0,37,0,0,7,174
MA,COELHO NETO,-4.2547375001398,-43.0140136155495,0,0,0,0,0,0,13,0,0,0,13
MA,GOVERNADOR ARCHER,-5.02538782392683,-44.2757565261253,0,0,0,0,0,0,7,5,0,0,12
MA,GOVERNADOR EDISON LOBÃO,-5.74741173851254,-47.3689358390372,0,0,0,0,0,10,0,0,0,0,10
MA,GOVERNADOR NEWTON BELLO,-3.42970471990356,-45.6745017970092,0,0,0,8,0,0,0,0,0,0,8
MA,IMPERATRIZ,-5.52652402518113,-47.4798108057681,0,0,13,0,0,0,0,0,0,0,13
MA,ITINGA DO MARANHÃO,-4.45500399844588,-47.5279099637573,18,0,0,10,0,0,0,0,0,3,31
MA,JOÃO LISBOA,-5.45366294155917,-47.4050361497683,65,0,33,0,0,0,0,0,10,0,108
MA,LAJEADO NOVO,-6.19160922666686,-47.0324475171003,0,9,0,0,0,0,0,0,0,0,9
MA,MARACAÇUMÉ,-2.05616454951514,-45.9586390371679,0,0,0,0,0,0,0,0,20,0,20
MA,MARANHÃOZINHO,-2.23561699207599,-45.8556114548667,0,0,0,0,0,0,0,0,0,13,13
MA,MATÕES DO NORTE,-3.62751878021672,-44.5502445069401,0,0,0,0,12,0,0,0,0,0,12
MA,MONÇÃO,-3.49393248,-45.2475846706441,0,0,0,0,31,0,0,0,0,0,31
MA,PERITORÓ,-4.37022511765711,-44.3258535239148,0,0,0,13,0,13,24,0,3,0,53
MA,PINDARÉ MIRIM,-3.60550057491388,-45.3468679178432,0,17,0,0,0,0,0,0,0,0,17
MA,PORTO FRANCO,-6.35418186391414,-47.3821649019192,0,0,1,0,0,0,0,0,0,0,1
MA,SANTA INÊS,-3.65857452,-45.3782724523024,0,0,0,0,0,0,0,0,0,12,12
MA,SANTA LUZIA,-3.968391465,-45.6650117249371,0,65,30,0,112,22,27,10,18,26,310
MA,SÃO FRANCISCO DO BREJÃO,-5.13020078716627,-47.3911373985946,10,44,0,0,0,0,0,0,0,0,54
MA,SÃO JOÃO DO CARÚ,-3.56080340686086,-46.2549254827263,0,0,0,0,0,0,0,0,20,0,20
MA,SÃO LUIZ GONZAGA,-4.37391849056592,-44.6627084964498,0,0,0,0,27,0,0,0,0,0,27
MA,SÃO MATEUS,-4.03455051013261,-44.4685628110945,0,0,0,0,24,0,0,0,10,0,34
